Population,Garden,Growth,Offset,Offset_sigma,rawClimDist,rawClimDist_sigma
WCA,NC,26.6193974625646,0.338103026151657,1.90700772370286,15.6608188079426,3.3686042726393
WCA,VT,28.2115283702492,0.265581041574478,1.41510777437564,8.22683547583168,1.92050525261808
WHI,MD,28.8599773604549,0.319165110588074,1.71823511570908,10.4093290842167,2.30859113256916
WHI,NC,21.1662752041791,0.397318035364151,2.71191067463683,18.4228465045267,4.04273898301726
WHI,VT,26.5139424867257,0.2946757376194,1.57565731136726,11.0753279997751,2.43668167612401
XBM,MD,47.6540219190939,0.0373877137899399,0.550256401890733,5.19534737369387,1.17613903950549
XBM,NC,40.3956705494735,0.110445350408554,1.14546584287958,13.2210885914498,2.9036026167735
XBM,VT,38.4847653689268,0.134662196040154,1.21962956522965,6.37436061325672,1.49503830500548
XCS,MD,30.3229936243978,0.054644700139761,0.800422621685022,5.88556381168186,1.36704635701994
XCS,NC,24.5941308230324,0.0864472165703773,1.04869691432652,13.2826991856839,2.91731206501533
XCS,VT,31.8820022087583,0.166169598698616,1.25950374590107,7.63151064057499,1.79889612222362
XDS,MD,29.7842918986782,0.0700178146362305,0.954205140771613,8.58635930840203,1.98589865247954
XDS,NC,24.9563713674969,0.103990212082863,1.11310512588808,16.153538393615,3.46835473678916
XDS,VT,28.2558796441357,0.176597833633423,1.27134453170332,10.5890020020555,2.34304345601344
XFS,MD,29.137327243017,0.0524599514901638,0.771508320599249,5.31972503763663,1.21157939128996
XFS,NC,24.5918570697824,0.0899057313799858,1.06418475803408,13.5258946534982,2.96970078643417
XFS,VT,27.6758177823084,0.16370452940464,1.25667335352061,7.16374309918451,1.69245621698611
XGL,MD,30.8221168265661,0.0572173446416855,0.831381346458228,5.6222554445387,1.29576409156119
XGL,NC,21.1745401114722,0.0877759680151939,1.05494071753611,13.4857678120182,2.9612265618696
XGL,VT,27.9306509067862,0.168561384081841,1.26246223648098,7.54420566689495,1.77959276048641
XPK,MD,29.1820106533388,0.067943774163723,0.937034618528591,7.95794544452709,1.8678555268726
XPK,NC,25.2750232016768,0.105209186673164,1.11820905950259,15.9410623567665,3.42157854961481
XPK,VT,26.3621570933247,0.173965722322464,1.26839202226414,10.1318283972691,2.25553465379086
XSK,MD,30.5262031164943,0.0697246268391609,0.951876793984612,8.86263922624124,2.03276689834537
XSK,NC,25.7974628166202,0.0994167625904083,1.09750940811457,15.8623813731626,3.40567463678469
XSK,VT,29.2006091024478,0.17763414978981,1.27245852672839,10.8159922892592,2.38652519086597
XWS,MD,32.885448392279,0.0555509738624096,0.811672775332297,5.27019420307614,1.19752908423533
XWS,NC,24.7469912799221,0.087567925453186,1.0539975358295,13.336510992256,2.92939756292592
XWS,VT,29.3123582919796,0.167023345828056,1.26058540899866,7.17932271649172,1.69615009844515
YRB,MD,35.0905444444679,0.0407849811017513,0.598149185432738,5.91896246864723,1.37596957469577
YRB,NC,26.9402248110227,0.116875648498535,1.17716952767881,13.3082466310156,2.92313525239189
YRB,VT,32.0444042288383,0.129817366600037,1.20909639722856,7.17646350138776,1.6954598984101
